Serial_Id,name,price,year,Odometer_Reading,fuel,transmission,Mileage,Engine_No,Horse_Power,Seats
0,Maruti Alto Std,1.2,2012,120000,Petrol,Manual,19.7,796,46.3,5
1,Hyundai Grand i10 Asta,5.5,2016,"20,000.00",Petrol,Manual,18.9,1197,82,5
2,Hyundai i20 Asta,2.15,2010,"60,000.00",Petrol,Manual,17,1197,80,5
3,Maruti Alto K10 2010-2014 VXI,2.26,2012,"37,000.00",Petrol,Manual,20.92,998,67.1,5
4,Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,5.7,2015,"30,000.00",Diesel,Manual,22.77,1498,98.59,5
5,Maruti Wagon R VXI BS IV,3.5,2013,"35,000.00",Petrol,Manual,18.9,998,67.1,5
6,Hyundai i10 Sportz 1.2,3.15,2013,"40,000.00",Petrol,Manual,20.36,1197,78.9,5
7,Maruti Wagon R VXI,4.1,2018,"17,512.00",Petrol,Manual,20.51,998,67.04,5
8,Hyundai Venue SX Plus Turbo DCT BSIV,10.5,2019,"20,000.00",Petrol,Automatic,18.15,998,118.35,5
9,Mahindra TUV 300 T6,5.75,2017,"70,000.00",Diesel,Manual,18.49,1493,100,7
10,Tata Indigo LX (TDI) BS-III,3.05,2015,"50,000.00",Diesel,Manual,19.09,1405,69.01,5
11,Renault Captur Platine Dual Tone Diesel,11.5,2019,"18,000.00",Diesel,Manual,20.37,1461,108.49,5
12,Maruti Swift VXI with ABS,5.11,2017,"28,321.00",Petrol,Manual,16.6,1197,85,5
13,Nissan Micra XL CVT,4.1,2016,"27,000.00",Petrol,Automatic,19.34,1198,76,5
14,Hyundai Verna 1.6 SX,4.25,2013,"65,278.00",Diesel,Manual,22.32,1582,126.32,5
15,Renault Duster 110PS Diesel RxL Explore,7.5,2016,"50,000.00",Diesel,Manual,19.64,1461,108.45,5
16,Mini Cooper Cooper S,32.5,2017,"6,000.00",Petrol,Automatic,14.41,1998,189.08,5
17,Maruti Ciaz ZDi Plus SHVS,6.5,2016,"76,000.00",Diesel,Manual,28.09,1248,88.5,5
18,Maruti Swift VDI BSIV,6.27,2016,"20,000.00",Diesel,Manual,25.2,1248,74,5
19,Mercedes-Benz C-Class C 220 CDI Avantgarde,14.25,2014,"65,000.00",Diesel,Automatic,19.27,2143,170,5
20,Maruti Swift VDI,4.25,2014,"62,200.00",Diesel,Manual,28.4,1248,74,5
21,Maruti Baleno Zeta 1.2,6,2015,"20,000.00",Petrol,Manual,21.4,1197,83.1,5
22,Maruti Swift Dzire VXI,5.75,2016,"40,000.00",Petrol,Manual,20.85,1197,83.14,5
23,Fiat Grande Punto 1.3 Emotion Pack (Diesel),2.6,2012,"97,000.00",Diesel,Manual,17.8,1248,76,5
24,Volkswagen Vento 1.6 Comfortline BSIV,4.25,2013,"47,000.00",Petrol,Manual,16.09,1598,103.2,5
25,Maruti Alto K10 2010-2014 VXI,2.3,2013,"25,000.00",Petrol,Manual,20.92,998,67.1,5
26,Hyundai Creta 1.6 CRDi SX,12.25,2019,"15,000.00",Diesel,Manual,19.67,1582,126.2,5
27,Mahindra Xylo H9,3.75,2010,"56,823.00",Diesel,Manual,14.02,2179,118.3,8
28,Honda City i VTEC VX,7.5,2015,"50,000.00",Petrol,Manual,17.4,1497,117.3,5
29,Mahindra Bolero SLE BSIII,3.5,2011,"25,000.00",Diesel,Manual,13.6,2523,63,7
30,Maruti Swift Dzire VDI,6,2015,"90,000.00",Diesel,Manual,26.59,1248,74,5
31,Maruti Swift Dzire LDI,3.9,2013,"45,000.00",Diesel,Manual,26.59,1248,74,5
32,Honda City 2017-2020 GXi,1.45,2007,"77,253.00",Petrol,Manual,17.7,1497,78,5
33,Hyundai i20 Active 1.2 SX,7,2018,"25,000.00",Petrol,Manual,17.19,1197,81.86,5
34,Renault KWID Climber 1.0 MT,3.4,2017,"30,000.00",Petrol,Manual,23.01,999,67,5
35,Honda Amaze S Petrol,4.65,2016,"39,993.00",Petrol,Manual,18.6,1199,88.76,5
36,Hyundai Santro Xing GLS,1.25,2009,"80,000.00",Petrol,Manual,17.92,1086,62.1,5
37,Maruti Swift Dzire VDI,3.8,2013,"90,000.00",Diesel,Manual,23.4,1248,74,5
38,Mahindra Xylo E8,4,2009,"60,000.00",Diesel,Manual,14,2498,112,8
39,Chevrolet Sail 1.3 Base,3,2014,"90,000.00",Diesel,Manual,22.1,1248,74,5
40,Hyundai Xcent 1.2 Kappa SX,5,2015,"20,000.00",Petrol,Manual,19.1,1197,82,5
41,Hyundai i20 1.4 Asta Option,8.5,2018,"15,000.00",Diesel,Manual,22.54,1396,88.73,5
42,Hyundai i20 1.2 Magna Executive,5.98,2018,"40,000.00",Petrol,Manual,18.6,1197,81.83,5
43,Honda City i VTEC CVT SV,7,2015,"31,180.00",Petrol,Automatic,18,1497,117.3,5
44,Mahindra TUV 300 mHAWK100 T8 AMT,9,2018,"40,000.00",Diesel,Automatic,18.49,1493,100,7
45,Maruti 800 Std,0.75,2004,"50,000.00",Petrol,Manual,16.1,796,37,4
46,Tata Indigo LS TDI BSIII,3,2015,"58,000.00",Diesel,Manual,19.09,1396,69,5
47,Maruti Swift Dzire ZDI,4.1,2014,"56,000.00",Diesel,Manual,23.4,1248,74,5
